x_est,y_est,distancia_est,angulo_est,remate_asistido,cabeza,penal,remate_tiro_esquina,remate_tiro_libre,remate_contraataque,remate_balon_parado,remate_jugada_lateral,remate_jugada_regular,gol
0.8959999999999999,0.515,0.10507616285342752,0.2711712484693746,True,True,False,False,False,False,False,False,True,False
0.88,0.736,0.2647564918939666,0.053579076854312596,False,False,False,False,False,False,False,False,True,False
0.941,0.581,0.10020977996183805,0.201128257412438,True,False,False,False,False,False,True,False,False,False
0.8759999999999999,0.401,0.1586726189359715,0.15274569314448475,True,True,False,False,False,False,True,False,False,False
0.858,0.6679999999999999,0.21997272558205933,0.09154789134425084,True,False,False,False,False,False,False,False,True,False
0.917,0.415,0.11880235687897778,0.18892694304019256,True,True,False,False,False,False,True,False,False,False
0.88,0.48,0.1216552506059644,0.23707113647752465,True,True,False,False,False,False,True,False,False,False
0.88,0.39,0.16278820596099705,0.1414426012506603,False,False,False,False,False,False,True,False,False,False
0.907,0.413,0.12734991166074675,0.18159166115739206,True,False,False,False,False,False,False,False,True,False
0.956,0.604,0.11292475370794483,0.12229382115047584,True,True,False,True,False,False,False,False,False,True
0.885,0.647,0.18663868837944614,0.10414519562608224,True,False,False,False,False,False,False,False,True,False
0.9259999999999999,0.579,0.10824509226750192,0.2057882745123491,True,True,False,False,False,False,False,False,True,False
0.768,0.27899999999999997,0.32041379495895617,0.06951246622375845,False,False,False,False,True,False,False,False,False,False
0.7659999999999999,0.6759999999999999,0.2928002732239163,0.08372312731029992,True,False,False,False,False,False,False,False,True,False
0.894,0.319,0.20975461854271527,0.07620004726049179,False,False,False,False,False,False,False,False,True,False
0.919,0.511,0.0817435012707432,0.3367770127154915,True,True,False,False,False,False,False,False,True,False
0.7609999999999999,0.705,0.3148745782053547,0.07404925274548234,False,False,False,True,False,False,False,False,False,False
0.902,0.252,0.26666083326952983,0.04325624248049919,True,False,False,False,False,False,False,False,True,False
0.9490000000000001,0.513,0.05263078946776301,0.4697943417985004,True,True,False,True,False,False,False,False,False,False
